0.046	463.1815
0.070	460.2183
0.093	460.2183
0.116	460.2183
0.139	463.1815
0.163	463.1815
0.186	463.1815
0.209	463.1815
0.232	460.2183
0.255	463.1815
0.279	463.1815
0.302	460.2183
0.325	460.2183
0.348	460.2183
0.372	460.2183
0.395	460.2183
0.418	460.2183
0.441	461.6975
0.464	463.1815
0.488	463.1815
0.511	463.1815
0.534	463.1815
0.557	463.1815
0.580	463.1815
0.604	463.1815
0.627	463.1815
0.650	461.6975
0.673	463.1815
0.697	463.1815
0.720	460.2183
0.743	463.1815
0.766	463.1815
0.789	460.2183
0.813	463.1815
0.836	463.1815
0.859	460.2183
0.882	457.2741
0.906	135.9484
0.929	132.5027
0.952	0.0000
0.975	0.0000
0.998	0.0000
1.022	0.0000
1.045	0.0000
1.068	0.0000
1.091	0.0000
1.115	270.1573
1.138	268.4290
1.161	268.4290
1.184	268.4290
1.207	266.7117
1.231	266.7117
1.254	120.7282
1.277	89.5774
1.300	146.8324
1.324	144.0323
1.347	144.0323
1.370	144.0323
1.393	143.5708
1.416	141.2856
1.440	278.9673
1.463	206.3239
1.486	159.6088
1.509	159.6088
1.533	157.5732
1.556	157.5732
1.579	157.5732
1.602	157.5732
1.625	157.5732
1.649	158.5877
1.672	159.6088
1.695	160.6365
1.718	160.6365
1.741	161.6708
1.765	161.6708
1.788	160.6365
1.811	159.6088
1.834	154.5683
1.858	153.0874
1.881	174.6141
1.904	170.1885
1.927	163.7594
1.950	160.6365
1.974	159.6088
1.997	159.6088
2.020	159.6088
2.043	159.6088
2.067	160.6365
2.090	160.6365
2.113	161.6708
2.136	161.6708
2.159	161.1528
2.183	161.6708
2.206	162.7117
2.229	162.1904
2.252	161.6708
2.276	159.6088
2.299	157.5732
2.322	152.5969
2.345	153.5794
2.368	230.1091
2.392	230.1091
2.415	154.5683
2.438	151.6207
2.461	148.7293
2.485	148.7293
2.508	148.7293
2.531	147.3043
2.554	144.0323
2.577	135.0787
2.601	135.9484
2.624	141.2856
2.647	140.3817
2.670	137.7047
2.694	135.9484
2.717	134.2145
2.740	133.3559
2.763	133.3559
2.786	132.5027
2.810	132.5027
2.833	150.6507
2.856	148.7293
2.879	147.7778
2.902	147.7778
2.926	148.7293
2.949	150.6507
2.972	151.6207
2.995	151.6207
3.019	172.3871
3.042	170.1885
3.065	165.8750
3.088	163.7594
3.111	163.7594
3.135	165.8750
3.158	165.8750
3.181	161.6708
3.204	152.5969
3.228	460.2183
3.251	460.2183
3.274	323.3416
3.297	423.3785
3.320	417.9787
3.344	415.3047
3.367	412.6478
3.390	412.6478
3.413	410.0079
3.437	410.0079
3.460	410.0079
3.483	410.0079
3.506	410.0079
3.529	407.3849
3.553	407.3849
3.576	407.3849
3.599	270.1573
3.622	263.3101
3.646	259.9518
3.669	263.3101
3.692	266.7117
3.715	263.3101
3.738	240.6828
3.762	239.1431
3.785	231.5907
3.808	228.6370
