beats,note_index
0.0,79.0
1/3,79.0
0.75,79.0
1.25,81.0
5/3,84.0
2.0,81.0
7/3,79.0
4.75,76.0
5.25,76.0
5.5,74.0
6.0,76.0
19/3,74.0
6.75,72.0
7.25,69.0
9.5,67.0
10.0,79.0
31/3,79.0
10.75,81.0
11.25,79.0
11.5,79.0
12.0,76.0
37/3,74.0
12.75,76.0
13.25,76.0
43/3,74.0
15.25,74.0
15.5,74.0
16.0,76.0
49/3,74.0
16.75,72.0
17.25,69.0
17.5,72.0
18.0,72.0
61/3,79.0
20.75,79.0
21.25,79.0
21.5,81.0
22.0,84.0
67/3,81.0
22.75,79.0
25.0,76.0
25.5,76.0
26.0,74.0
79/3,76.0
26.75,74.0
27.0,72.0
27.5,69.0
30.0,67.0
91/3,79.0
92/3,79.0
31.0,81.0
31.5,79.0
32.0,79.0
97/3,76.0
98/3,74.0
33.0,76.0
33.5,76.0
104/3,74.0
35.5,74.0
36.0,74.0
109/3,76.0
110/3,74.0
37.0,72.0
37.5,69.0
38.0,72.0
115/3,72.0
122/3,72.0
41.0,74.0
124/3,74.0
41.5,76.0
42.0,69.0
43.0,72.0
43.5,74.0
131/3,74.0
44.0,76.0
133/3,67.0
45.5,72.0
46.0,74.0
139/3,76.0
46.75,77.0
47.0,76.0
47.5,77.0
48.0,81.0
146/3,79.0
49.0,79.0
151/3,79.0
51.0,76.0
51.5,79.0
157/3,76.0
158/3,84.0
53.5,81.0
54.0,84.0
164/3,81.0
55.0,79.0
56.0,79.0
169/3,79.0
170/3,81.0
57.0,79.0
57.5,77.0
58.0,79.0
175/3,77.0
58.75,76.0
61.0,79.0
61.75,79.0
62.25,79.0
188/3,81.0
63.0,79.0
63.5,77.0
63.75,79.0
64.25,77.0
194/3,76.0
67.25,79.0
67.5,79.0
68.0,79.0
205/3,81.0
68.75,84.0
69.25,81.0
69.5,79.0
72.0,76.0
217/3,76.0
72.75,74.0
73.25,76.0
73.5,74.0
74.0,72.0
223/3,69.0
76.75,67.0
77.25,79.0
77.5,79.0
78.0,81.0
235/3,79.0
78.75,79.0
79.25,76.0
79.5,74.0
80.0,76.0
241/3,76.0
81.5,74.0
247/3,74.0
82.75,74.0
83.25,76.0
83.5,74.0
84.0,72.0
253/3,69.0
84.75,72.0
85.25,72.0
87.5,79.0
88.0,79.0
265/3,79.0
88.75,81.0
89.25,84.0
89.5,81.0
90.0,79.0
277/3,76.0
278/3,76.0
93.0,74.0
93.5,76.0
94.0,74.0
283/3,72.0
94.75,69.0
97.0,67.0
97.5,79.0
98.0,79.0
295/3,81.0
296/3,79.0
99.0,79.0
99.5,76.0
100.0,74.0
301/3,76.0
100.75,76.0
102.0,74.0
308/3,74.0
103.0,74.0
103.5,76.0
104.0,74.0
313/3,72.0
104.75,69.0
105.0,72.0
105.5,72.0
108.0,72.0
108.25,74.0
108.5,74.0
108.75,76.0
109.0,69.0
331/3,72.0
110.75,74.0
111.0,74.0
111.25,76.0
111.5,67.0
112.75,72.0
113.0,74.0
113.5,76.0
114.0,77.0
343/3,76.0
114.75,77.0
115.25,81.0
116.0,79.0
349/3,79.0
117.5,79.0
355/3,76.0
118.75,79.0
119.5,76.0
120.0,84.0
120.75,81.0
121.0,84.0
122.0,81.0
367/3,79.0
123.0,79.0
123.5,79.0
124.0,81.0
373/3,79.0
124.75,77.0
125.25,79.0
125.5,77.0
126.0,76.0
385/3,79.0
129.0,79.0
129.5,79.0
130.0,81.0
391/3,79.0
392/3,77.0
131.0,79.0
131.5,77.0
132.0,76.0
