beats,note_index
0.0,60.0
0.25,61.0
0.25,63.0
0.5,63.0
0.75,63.0
1.25,63.0
1.25,63.0
1.5,65.0
1.5,63.0
1.75,61.0
2.25,60.0
7/3,61.0
2.5,63.0
2.75,63.0
3.0,60.0
3.25,58.0
10/3,56.0
11/3,58.0
4.5,60.0
14/3,58.0
4.75,56.0
5.0,56.0
5.0,56.0
16/3,68.0
5.5,68.0
6.0,67.0
6.0,68.0
6.25,67.0
19/3,63.0
7.0,65.0
7.25,63.0
22/3,61.0
7.5,61.0
7.75,63.0
8.0,65.0
8.25,63.0
28/3,68.0
29/3,68.0
10.25,65.0
10.25,60.0
10.5,63.0
10.5,65.0
10.75,63.0
11.5,65.0
11.75,65.0
12.0,63.0
12.25,56.0
12.5,58.0
38/3,60.0
13.5,58.0
13.75,56.0
14.0,56.0
43/3,56.0
14.5,60.0
14.75,60.0
15.0,60.0
15.0,58.0
15.25,58.0
15.75,58.0
16.0,70.0
49/3,70.0
50/3,67.0
17.0,65.0
17.25,63.0
19.0,60.0
19.25,61.0
58/3,63.0
59/3,63.0
20.0,63.0
20.25,63.0
61/3,63.0
20.5,65.0
62/3,63.0
20.75,61.0
64/3,60.0
21.5,61.0
65/3,63.0
22.0,63.0
22.25,60.0
67/3,58.0
22.5,56.0
22.75,58.0
71/3,60.0
23.75,58.0
24.0,56.0
24.0,56.0
24.25,56.0
24.5,68.0
74/3,68.0
25.0,67.0
25.25,67.0
25.5,68.0
77/3,67.0
25.75,65.0
26.0,63.0
26.25,65.0
79/3,63.0
26.5,61.0
80/3,61.0
27.0,63.0
27.0,65.0
82/3,63.0
85/3,68.0
86/3,68.0
29.25,65.0
88/3,60.0
29.5,63.0
89/3,65.0
29.75,63.0
92/3,65.0
31.0,65.0
31.25,63.0
94/3,56.0
95/3,58.0
31.75,60.0
98/3,58.0
33.0,56.0
33.25,56.0
33.5,56.0
101/3,60.0
34.0,60.0
34.0,60.0
34.25,58.0
103/3,58.0
34.75,65.0
35.0,63.0
35.25,63.0
35.5,60.0
35.75,58.0
35.75,51.0
36.0,60.0
36.25,58.0
109/3,56.0
38.5,65.0
116/3,65.0
38.75,65.0
39.0,67.0
39.0,68.0
39.25,67.0
118/3,65.0
119/3,67.0
39.75,67.0
40.0,68.0
40.25,70.0
121/3,68.0
40.5,67.0
40.75,68.0
41.0,67.0
41.0,65.0
41.25,63.0
41.5,63.0
125/3,56.0
41.75,58.0
42.0,60.0
43.0,60.0
130/3,67.0
43.5,67.0
43.75,60.0
44.0,60.0
44.25,70.0
44.5,70.0
44.75,68.0
45.0,67.0
136/3,65.0
47.5,65.0
143/3,65.0
47.75,65.0
48.0,67.0
48.0,68.0
145/3,65.0
146/3,67.0
48.75,67.0
49.0,68.0
49.25,70.0
49.5,67.0
149/3,67.0
49.75,72.0
152/3,70.0
50.75,68.0
51.0,68.0
155/3,67.0
52.0,65.0
52.25,65.0
52.5,65.0
158/3,65.0
53.0,63.0
160/3,63.0
161/3,58.0
53.75,60.0
54.25,56.0
56.25,60.0
56.25,61.0
56.5,63.0
56.75,63.0
57.0,63.0
57.25,63.0
57.5,63.0
57.5,65.0
57.75,63.0
57.75,61.0
175/3,60.0
58.5,61.0
176/3,63.0
59.0,63.0
59.25,60.0
178/3,58.0
59.5,56.0
59.75,58.0
182/3,60.0
60.75,58.0
61.0,56.0
61.0,56.0
61.25,56.0
61.5,68.0
185/3,68.0
62.0,67.0
62.25,67.0
62.5,68.0
188/3,67.0
62.75,65.0
63.0,63.0
63.25,65.0
190/3,63.0
63.5,61.0
191/3,61.0
64.0,63.0
64.0,65.0
193/3,63.0
65.5,68.0
65.75,68.0
199/3,65.0
66.5,60.0
200/3,63.0
66.75,65.0
67.0,63.0
67.75,65.0
68.0,65.0
68.25,63.0
68.5,56.0
206/3,58.0
68.75,60.0
209/3,58.0
70.0,56.0
70.25,56.0
70.5,56.0
212/3,60.0
71.0,60.0
71.0,60.0
71.25,58.0
214/3,58.0
72.0,65.0
72.0,63.0
72.25,63.0
218/3,60.0
72.75,58.0
73.0,51.0
73.0,60.0
73.25,58.0
220/3,56.0
75.5,65.0
227/3,65.0
75.75,65.0
76.0,67.0
76.25,68.0
76.25,67.0
76.5,65.0
230/3,67.0
76.75,67.0
77.25,68.0
77.25,70.0
77.5,68.0
77.5,67.0
77.75,68.0
78.0,67.0
78.25,65.0
78.25,63.0
78.5,63.0
