beats,note_index
4.75,64.0
5.25,64.0
6.0,67.0
6.5,67.0
6.75,69.0
8.25,69.0
26/3,67.0
18.0,67.0
19.0,72.0
19.75,71.0
20.5,69.0
21.5,67.0
67/3,69.0
23.25,67.0
24.0,67.0
98/3,62.0
33.0,64.0
33.5,62.0
33.75,57.0
103/3,60.0
35.25,60.0
36.0,60.0
37.0,62.0
112/3,62.0
37.75,62.0
139/3,62.0
46.75,64.0
47.25,62.0
47.5,64.0
48.0,67.0
49.0,67.0
49.75,69.0
152/3,62.0
59.25,64.0
62.25,67.0
63.5,67.0
73.75,72.0
74.25,71.0
75.0,69.0
75.5,67.0
77.25,67.0
233/3,69.0
78.0,67.0
260/3,62.0
87.5,62.0
88.0,64.0
265/3,62.0
266/3,57.0
89.25,60.0
90.0,60.0
90.5,60.0
102.0,64.0
102.5,62.0
102.75,57.0
103.75,60.0
314/3,62.0
319/3,60.0
115.0,60.0
115.75,62.0
116.5,67.0
117.5,67.0
118.0,64.0
355/3,67.0
119.25,67.0
359/3,64.0
120.0,67.0
128.25,67.0
386/3,72.0
129.0,71.0
129.5,69.0
129.75,67.0
391/3,64.0
131.25,64.0
395/3,62.0
132.0,64.0
133.0,64.0
400/3,62.0
133.75,64.0
142.0,62.0
427/3,62.0
142.75,64.0
143.25,67.0
143.5,64.0
144.0,62.0
145.0,62.0
436/3,60.0
145.75,62.0
440/3,60.0
147.5,62.0
155.5,62.0
156.0,60.0
156.75,62.0
157.25,67.0
157.75,67.0
158.25,69.0
476/3,62.0
168.0,60.0
169.75,62.0
171.5,67.0
517/3,67.0
172.75,64.0
173.25,67.0
174.0,67.0
174.5,64.0
175.0,67.0
183.0,67.0
183.5,72.0
184.0,71.0
553/3,69.0
554/3,67.0
185.25,62.0
186.0,62.0
187.0,62.0
187.75,60.0
566/3,62.0
197.25,62.0
198.0,64.0
198.5,62.0
198.75,62.0
598/3,64.0
199.75,57.0
607/3,60.0
203.25,62.0
204.0,60.0
