beats,note_index
0.0,71.0
2/3,71.0
1.25,71.0
1.75,68.0
7/3,73.0
3.0,71.0
4.25,64.0
4.5,66.0
4.75,68.0
16/3,68.0
6.0,68.0
20/3,66.0
7.25,69.0
7.75,68.0
34/3,64.0
35/3,64.0
12.0,73.0
38/3,71.0
13.0,73.0
13.75,73.0
14.0,71.0
43/3,73.0
15.0,75.0
16.25,76.0
16.75,75.0
56/3,73.0
19.25,71.0
70/3,68.0
71/3,68.0
24.0,66.0
74/3,66.0
25.25,66.0
25.75,68.0
79/3,69.0
83/3,69.0
28.25,71.0
28.5,73.0
28.75,75.0
88/3,75.0
30.0,75.0
92/3,68.0
31.25,76.0
106/3,76.0
107/3,75.0
36.0,73.0
110/3,73.0
37.25,73.0
38.0,73.0
115/3,73.0
39.0,75.0
119/3,76.0
40.25,73.0
40.75,78.0
42.0,78.0
128/3,71.0
43.25,73.0
133/3,71.0
48.0,71.0
146/3,71.0
49.25,71.0
49.75,68.0
151/3,73.0
51.0,71.0
52.25,64.0
52.5,66.0
52.75,68.0
160/3,68.0
54.0,68.0
164/3,66.0
55.25,69.0
55.75,68.0
178/3,64.0
179/3,64.0
60.0,73.0
182/3,71.0
61.0,73.0
61.75,73.0
62.0,71.0
187/3,73.0
63.0,75.0
64.25,76.0
64.75,75.0
200/3,73.0
67.25,71.0
214/3,68.0
215/3,68.0
72.0,66.0
218/3,66.0
73.25,66.0
73.75,68.0
223/3,69.0
227/3,69.0
76.25,71.0
76.5,73.0
76.75,75.0
232/3,75.0
78.0,75.0
236/3,68.0
79.25,76.0
250/3,76.0
251/3,75.0
84.0,73.0
254/3,73.0
85.25,73.0
85.75,73.0
259/3,73.0
87.0,75.0
263/3,76.0
88.25,73.0
88.75,78.0
90.0,78.0
272/3,76.0
91.0,76.0
91.25,76.0
277/3,75.0
281/3,76.0
106.75,73.0
322/3,73.0
108.0,73.0
326/3,68.0
109.75,73.0
110.0,76.0
331/3,75.0
112.25,73.0
112.75,71.0
118.75,75.0
358/3,75.0
120.0,75.0
362/3,68.0
121.75,75.0
122.0,78.0
367/3,76.0
124.25,75.0
124.75,73.0
130.75,73.0
394/3,73.0
132.0,73.0
398/3,68.0
133.75,73.0
134.0,76.0
403/3,75.0
136.25,78.0
136.75,71.0
138.0,71.0
141.0,73.0
424/3,75.0
425/3,76.0
430/3,76.0
144.0,76.0
434/3,76.0
145.0,76.0
145.75,73.0
146.0,75.0
439/3,76.0
