beats,note_index
0.0,51.0
0.75,51.0
1.25,53.0
2.0,51.0
4.5,53.0
5.0,53.0
5.75,51.0
6.25,51.0
7.0,48.0
7.75,46.0
15.75,51.0
16.25,58.0
17.0,56.0
52/3,55.0
17.75,55.0
56/3,56.0
19.0,56.0
62/3,56.0
21.0,58.0
22.0,56.0
67/3,58.0
23.25,60.0
24.5,51.0
33.0,51.0
34.0,55.0
34.75,55.0
37.25,53.0
113/3,56.0
39.75,56.0
40.5,55.0
124/3,53.0
43.75,55.0
134/3,53.0
45.5,51.0
53.75,51.0
54.25,48.0
164/3,49.0
55.5,51.0
55.75,51.0
57.5,51.0
58.0,53.0
58.75,51.0
59.25,51.0
60.5,48.0
185/3,46.0
211/3,48.0
70.75,51.0
71.25,51.0
71.5,53.0
72.5,51.0
75.0,51.0
226/3,53.0
76.25,51.0
76.5,51.0
232/3,48.0
78.25,46.0
86.0,51.0
86.5,58.0
262/3,56.0
87.75,55.0
88.25,55.0
89.0,56.0
268/3,56.0
91.0,56.0
91.5,58.0
92.25,56.0
278/3,58.0
93.5,60.0
94.75,51.0
103.5,51.0
104.25,55.0
105.0,55.0
107.5,53.0
108.0,56.0
110.0,56.0
111.0,55.0
111.75,53.0
114.25,55.0
115.0,53.0
115.75,51.0
124.25,51.0
124.5,48.0
125.0,49.0
125.75,51.0
126.25,51.0
127.75,51.0
128.25,53.0
129.0,51.0
129.5,51.0
130.75,60.0
132.5,58.0
442/3,56.0
148.25,58.0
149.0,61.0
151.5,60.0
151.75,60.0
160.5,56.0
484/3,65.0
162.25,65.0
494/3,63.0
165.0,63.0
173.75,60.0
524/3,68.0
175.5,67.0
176.25,68.0
530/3,68.0
535/3,68.0
178.75,67.0
179.5,65.0
180.5,65.0
181.25,67.0
182.0,65.0
184.5,63.0
185.0,63.0
581/3,61.0
194.5,63.0
195.0,65.0
197.75,61.0
198.25,61.0
199.5,63.0
200.25,63.0
201.0,65.0
202.0,63.0
204.5,55.0
205.25,56.0
643/3,56.0
214.75,58.0
215.25,60.0
215.5,61.0
216.0,63.0
218.5,61.0
658/3,60.0
220.25,58.0
221.0,56.0
664/3,58.0
222.25,58.0
231.0,56.0
231.75,58.0
232.5,61.0
235.0,60.0
235.5,60.0
244.25,56.0
245.0,65.0
245.75,65.0
248.25,63.0
746/3,63.0
772/3,60.0
258.25,68.0
259.0,67.0
259.75,68.0
260.25,68.0
262.0,68.0
787/3,67.0
263.25,65.0
264.0,65.0
264.75,67.0
797/3,65.0
268.25,63.0
268.5,63.0
277.25,61.0
278.0,63.0
278.5,65.0
844/3,61.0
281.75,61.0
283.0,63.0
283.75,63.0
854/3,65.0
285.5,63.0
288.0,55.0
288.75,56.0
298.0,56.0
895/3,58.0
298.75,60.0
299.25,61.0
299.5,63.0
302.0,61.0
303.0,60.0
303.75,58.0
304.5,56.0
305.0,58.0
305.75,58.0
314.5,51.0
315.0,60.0
315.75,58.0
316.5,56.0
317.0,55.0
318.25,56.0
998/3,48.0
333.0,51.0
333.5,51.0
334.0,53.0
334.75,51.0
337.25,51.0
1013/3,53.0
338.5,51.0
339.0,51.0
339.75,48.0
340.5,46.0
348.5,51.0
348.75,58.0
1049/3,56.0
350.0,55.0
350.5,55.0
1054/3,56.0
351.75,56.0
1060/3,56.0
353.75,58.0
1064/3,56.0
355.0,58.0
355.75,60.0
357.0,51.0
365.75,51.0
1100/3,55.0
367.5,55.0
370.0,53.0
1111/3,56.0
372.5,56.0
373.25,55.0
374.0,53.0
376.5,55.0
1132/3,53.0
378.25,51.0
386.5,51.0
387.0,48.0
1162/3,49.0
388.25,51.0
388.5,51.0
390.25,51.0
1172/3,53.0
391.5,51.0
391.75,51.0
393.0,60.0
394.75,58.0
