beats,note_index
16.0,67.0
18.0,72.0
19.5,74.0
20.0,75.0
21.0,72.0
22.0,80.0
23.5,77.0
24.0,79.0
25.0,79.0
28.0,67.0
30.0,72.0
31.5,74.0
32.0,75.0
33.0,72.0
34.0,80.0
35.5,79.0
36.0,77.0
37.0,77.0
40.0,79.0
40.5,79.0
44.0,79.0
44.5,79.0
48.0,67.0
50.0,72.0
52.0,75.0
54.0,77.0
55.5,75.0
56.0,74.0
60.0,67.0
64.0,67.0
68.0,67.0
72.0,60.0
72.5,63.0
73.5,60.0
74.0,67.0
75.5,65.0
76.0,65.0
76.5,67.0
76.75,65.0
77.0,63.0
80.0,62.0
80.5,60.0
81.5,62.0
82.0,65.0
83.5,67.0
84.0,63.0
84.5,60.0
88.0,67.0
90.0,72.0
91.5,67.0
92.0,72.0
93.0,70.0
93.5,68.0
94.0,67.0
96.0,63.0
97.5,65.0
98.0,67.0
99.0,68.0
99.5,67.0
100.0,65.0
104.0,60.0
105.0,67.0
106.0,65.0
106.5,67.0
107.0,60.0
108.0,63.0
111.0,67.0
112.0,65.0
112.5,62.0
113.5,67.0
114.0,65.0
114.5,60.0
115.0,63.0
115.5,65.0
116.0,67.0
120.0,67.0
122.0,72.0
123.5,67.0
124.0,72.0
125.0,70.0
125.5,68.0
126.0,67.0
128.0,70.0
128.5,65.0
129.5,68.0
130.0,67.0
130.5,65.0
131.0,63.0
132.0,65.0
136.0,65.0
136.5,62.0
137.5,67.0
138.0,62.0
138.5,60.0
139.0,58.0
140.0,60.0
143.0,67.0
144.0,70.0
147.0,67.0
147.5,70.0
148.0,72.0
149.5,75.0
150.0,74.0
150.5,72.0
151.0,70.0
152.0,72.0
156.0,75.0
158.0,74.0
159.5,72.0
160.0,70.0
160.5,72.0
161.0,70.0
163.0,70.0
163.5,72.0
164.0,67.0
168.0,75.0
170.0,74.0
171.5,72.0
172.0,70.0
172.5,72.0
173.0,70.0
175.0,70.0
175.5,72.0
176.0,67.0
180.0,58.0
180.5,60.0
181.5,63.0
182.0,67.0
183.5,63.0
184.0,65.0
184.5,67.0
185.0,65.0
188.0,65.0
188.5,62.0
189.5,65.0
190.0,62.0
190.5,60.0
191.0,58.0
192.0,60.0
196.0,58.0
196.5,60.0
197.5,63.0
198.0,67.0
199.5,63.0
200.0,65.0
200.5,67.0
201.0,65.0
204.0,67.0
205.0,70.0
207.0,67.0
208.0,74.0
209.5,75.0
210.0,74.0
210.5,72.0
211.0,70.0
212.0,72.0
