beats,note_index
27.25,73.0
28.0,80.0
28.25,80.0
86/3,80.0
88/3,80.0
30.0,80.0
92/3,78.0
31.0,76.0
94/3,73.0
32.75,73.0
100/3,78.0
33.75,78.0
34.0,78.0
34.75,76.0
35.0,73.0
35.5,80.0
38.0,83.0
39.0,73.0
39.25,73.0
39.5,76.0
40.25,78.0
122/3,80.0
41.0,80.0
125/3,78.0
42.0,76.0
42.25,78.0
131/3,68.0
133/3,68.0
134/3,68.0
45.0,76.0
136/3,76.0
137/3,73.0
46.0,71.0
139/3,73.0
54.5,73.0
55.25,80.0
167/3,80.0
56.0,80.0
170/3,80.0
57.25,80.0
58.0,78.0
58.25,76.0
176/3,73.0
60.0,73.0
182/3,78.0
61.0,78.0
184/3,78.0
62.0,76.0
187/3,73.0
62.75,80.0
65.5,83.0
66.0,73.0
66.5,73.0
67.0,76.0
67.5,78.0
68.0,80.0
68.0,80.0
69.0,78.0
69.25,76.0
69.5,78.0
71.0,68.0
215/3,68.0
72.0,68.0
72.25,76.0
73.0,73.0
73.25,71.0
221/3,73.0
87.25,80.0
88.0,80.0
266/3,80.0
268/3,80.0
269/3,80.0
90.0,78.0
272/3,76.0
91.0,73.0
274/3,73.0
92.75,73.0
280/3,73.0
93.75,73.0
94.0,76.0
94.75,78.0
95.5,80.0
95.75,80.0
96.0,78.0
96.5,76.0
97.0,80.0
98.0,80.0
99.0,80.0
99.5,80.0
101.0,76.0
101.25,73.0
305/3,73.0
102.0,71.0
102.25,73.0
311/3,78.0
313/3,78.0
105.0,78.0
109.0,78.0
109.75,78.0
110.5,78.0
111.0,78.0
112.0,83.0
113.0,83.0
114.5,83.0
120.0,80.0
362/3,80.0
122.0,78.0
122.75,80.0
123.75,83.0
124.0,71.0
124.75,73.0
125.5,78.0
126.0,78.0
127.5,80.0
128.0,76.0
129.5,68.0
130.25,68.0
131.0,73.0
158.0,73.0
159.0,80.0
159.25,80.0
159.5,80.0
160.25,80.0
161.0,80.0
485/3,78.0
162.0,76.0
162.25,73.0
491/3,73.0
493/3,78.0
494/3,78.0
165.0,78.0
497/3,76.0
166.0,73.0
499/3,80.0
169.0,83.0
169.75,73.0
170.0,73.0
170.5,76.0
171.0,78.0
171.5,80.0
172.0,80.0
172.5,78.0
173.0,76.0
173.0,78.0
174.5,68.0
175.25,68.0
527/3,68.0
176.0,76.0
176.25,76.0
530/3,73.0
177.0,71.0
177.25,73.0
185.5,73.0
186.0,80.0
186.5,80.0
187.0,80.0
187.5,80.0
188.0,80.0
189.0,78.0
189.25,76.0
189.5,73.0
191.0,73.0
575/3,78.0
192.0,78.0
192.25,78.0
193.0,76.0
193.25,73.0
581/3,80.0
589/3,83.0
197.0,73.0
592/3,73.0
197.75,76.0
595/3,78.0
198.75,80.0
199.0,80.0
199.75,78.0
200.0,76.0
200.5,78.0
202.0,68.0
202.5,68.0
203.0,68.0
203.0,76.0
203.5,76.0
204.0,73.0
204.25,71.0
204.5,73.0
218.0,80.0
219.0,80.0
219.5,80.0
220.25,80.0
662/3,80.0
221.0,78.0
665/3,76.0
222.0,73.0
222.25,73.0
671/3,73.0
673/3,73.0
674/3,73.0
225.0,76.0
677/3,78.0
679/3,80.0
226.75,80.0
227.0,78.0
682/3,76.0
227.75,80.0
229.0,80.0
229.75,80.0
230.5,80.0
232.0,76.0
232.0,73.0
232.5,73.0
233.0,71.0
233.0,73.0
234.5,78.0
235.25,78.0
236.0,78.0
240.0,78.0
722/3,78.0
724/3,78.0
242.0,78.0
242.75,83.0
244.0,83.0
245.5,83.0
251.0,80.0
755/3,80.0
253.0,78.0
761/3,80.0
764/3,83.0
255.0,71.0
767/3,73.0
769/3,78.0
257.0,78.0
775/3,80.0
259.0,76.0
260.5,68.0
261.0,68.0
262.0,73.0
264.5,85.0
270.0,78.0
812/3,73.0
271.0,73.0
814/3,73.0
272.0,73.0
272.75,73.0
820/3,71.0
273.75,69.0
274.0,66.0
275.5,66.0
276.0,71.0
276.5,71.0
277.0,71.0
277.5,69.0
278.0,66.0
278.0,73.0
281.0,76.0
845/3,66.0
282.0,66.0
282.25,69.0
283.0,71.0
283.25,73.0
851/3,73.0
853/3,71.0
854/3,69.0
285.0,71.0
