beats,note_index
0.0,70.0
0.5,67.0
0.75,70.0
1.0,67.0
1.5,70.0
2.0,75.0
8/3,72.0
3.0,70.0
3.75,70.0
13/3,72.0
4.5,75.0
4.75,67.0
5.25,70.0
5.5,67.0
5.75,65.0
6.5,60.0
6.75,63.0
23/3,70.0
8.25,67.0
25/3,70.0
26/3,67.0
9.25,70.0
29/3,75.0
31/3,72.0
10.5,70.0
11.5,70.0
11.75,70.0
12.0,72.0
12.25,75.0
12.5,67.0
13.0,65.0
13.5,63.0
46/3,65.0
15.75,63.0
16.0,65.0
49/3,63.0
16.75,65.0
52/3,70.0
18.0,67.0
18.25,65.0
19.25,67.0
19.5,63.0
19.75,65.0
20.0,67.0
20.25,70.0
20.5,67.0
62/3,70.0
21.0,72.0
21.25,75.0
21.75,72.0
22.0,75.0
22.75,67.0
23.0,70.0
23.5,67.0
23.75,70.0
24.0,67.0
24.5,70.0
25.0,75.0
77/3,72.0
26.0,70.0
27.0,70.0
27.25,70.0
82/3,72.0
83/3,75.0
27.75,67.0
28.25,70.0
85/3,67.0
28.5,65.0
28.75,63.0
31.75,70.0
32.25,67.0
32.5,70.0
32.75,67.0
33.25,70.0
33.75,75.0
34.5,72.0
104/3,70.0
107/3,70.0
36.25,72.0
109/3,75.0
110/3,67.0
37.0,70.0
112/3,67.0
113/3,65.0
115/3,60.0
38.5,63.0
39.5,70.0
40.0,67.0
40.25,70.0
40.5,67.0
41.0,70.0
41.5,75.0
42.25,72.0
127/3,70.0
130/3,70.0
131/3,70.0
43.75,72.0
44.0,75.0
133/3,67.0
44.75,65.0
136/3,63.0
47.25,65.0
143/3,63.0
48.0,65.0
48.25,63.0
146/3,65.0
49.25,70.0
49.75,67.0
50.0,65.0
51.0,67.0
51.25,63.0
51.5,65.0
51.75,67.0
52.0,70.0
52.25,67.0
52.5,70.0
52.75,72.0
53.0,75.0
161/3,72.0
54.0,75.0
164/3,67.0
54.75,70.0
166/3,67.0
167/3,70.0
55.75,67.0
169/3,70.0
56.75,75.0
57.5,72.0
57.75,70.0
58.75,70.0
59.0,70.0
59.25,72.0
59.5,75.0
179/3,67.0
60.0,70.0
60.25,67.0
181/3,65.0
182/3,63.0
191/3,70.0
64.0,67.0
193/3,70.0
194/3,67.0
65.0,70.0
65.5,75.0
66.25,72.0
66.5,70.0
67.5,70.0
68.0,72.0
68.25,75.0
68.5,67.0
69.0,70.0
69.25,67.0
208/3,65.0
70.0,60.0
211/3,63.0
214/3,70.0
71.75,67.0
72.0,70.0
72.25,67.0
72.75,70.0
73.25,75.0
74.0,72.0
74.25,70.0
75.25,70.0
226/3,70.0
227/3,72.0
76.0,75.0
76.25,67.0
230/3,65.0
77.0,63.0
79.0,65.0
79.5,63.0
79.75,65.0
80.0,63.0
80.5,65.0
81.0,70.0
245/3,67.0
82.0,65.0
82.75,67.0
83.0,63.0
250/3,65.0
83.5,67.0
83.75,70.0
84.0,67.0
253/3,70.0
84.5,72.0
84.75,75.0
85.5,72.0
85.75,75.0
86.5,67.0
260/3,70.0
87.25,67.0
262/3,70.0
263/3,67.0
88.25,70.0
266/3,75.0
268/3,72.0
89.5,70.0
90.5,70.0
90.75,70.0
91.0,72.0
91.25,75.0
91.5,79.0
92.0,77.0
92.5,75.0
