beats,note_index
3.5,55.0
4.0,60.0
4.5,60.0
5.0,62.0
5.5,64.0
6.0,60.0
6.5,64.0
7.0,62.0
7.5,55.0
8.0,60.0
8.5,60.0
9.0,62.0
9.5,64.0
10.0,60.0
11.0,59.0
11.5,55.0
12.0,60.0
12.5,60.0
13.0,62.0
13.5,64.0
14.0,65.0
14.5,64.0
15.0,62.0
15.5,60.0
16.0,59.0
16.5,55.0
17.0,57.0
17.5,59.0
18.0,60.0
19.0,60.0
20.0,57.0
20.75,59.0
21.0,57.0
21.5,55.0
22.0,57.0
22.5,59.0
23.0,60.0
23.5,57.0
24.0,55.0
24.75,57.0
25.0,55.0
25.5,53.0
26.0,52.0
26.5,53.0
27.0,55.0
28.0,57.0
28.75,59.0
29.0,57.0
29.5,55.0
30.0,57.0
30.5,59.0
31.0,60.0
31.5,57.0
32.0,55.0
32.5,60.0
33.0,59.0
33.5,62.0
34.0,60.0
35.0,60.0
