time,f0
0.020000000000000125,465.7605063956975
0.030000000000000124,463.23118482716217
0.040000000000000126,466.1627749320748
0.05000000000000013,465.3379936777385
0.06000000000000012,467.4046937689559
0.07000000000000013,466.5372162639351
0.08000000000000013,468.497948645722
0.09000000000000014,467.9120598688355
0.10000000000000013,468.9352933858109
0.11000000000000013,468.22213477653935
0.12000000000000013,465.5343662369178
0.13000000000000012,464.9425564472672
0.14000000000000012,461.45489906974166
0.15000000000000013,462.68484899086826
0.16000000000000014,461.9353727191388
0.17000000000000012,463.55266002463765
0.18000000000000013,462.8401393109347
0.19000000000000014,467.16047789316815
0.20000000000000012,468.04023458298497
0.21000000000000013,464.08624977164453
0.22000000000000014,464.60073077446185
0.23000000000000012,463.5773236964295
0.24000000000000013,464.3404001133491
0.2500000000000001,463.4534296572186
0.2600000000000001,464.7134669943562
0.27000000000000013,464.7276908505968
0.28000000000000014,467.3247680175009
0.29000000000000015,464.41290777750504
0.30000000000000016,466.2393914012806
0.3100000000000001,462.4300335179685
0.3200000000000001,463.7249523095933
0.3300000000000001,466.17563422424837
0.34000000000000014,463.28157145580263
0.35000000000000014,464.28501511974133
0.36000000000000015,462.88716804009414
0.37000000000000016,465.3554791366967
0.3800000000000001,464.9666550380117
0.3900000000000001,468.02054771904193
0.40000000000000013,461.40401330723654
0.41000000000000014,463.0514060190385
0.42000000000000015,462.87364933659467
0.43000000000000016,464.2727722531361
0.4400000000000001,466.88907002488753
0.4500000000000001,463.3998202975113
0.46000000000000013,464.91476526286516
0.47000000000000014,461.74491148635013
0.48000000000000015,465.9346769059309
0.49000000000000016,462.4146854633024
0.5000000000000001,463.3370863713934
0.5100000000000001,464.58319743753134
0.5200000000000001,464.61064353351105
0.5300000000000001,465.51220219639964
0.5400000000000002,461.3333169491665
0.5500000000000002,463.82688368893014
0.5600000000000002,462.05084219772795
0.5700000000000002,463.0350804310326
0.5800000000000002,459.01992739723573
0.5900000000000002,462.84551535713973
0.6000000000000001,463.79721616359535
0.6100000000000001,467.0195131911303
0.6200000000000001,465.82547253445733
0.6300000000000001,462.30995403960645
0.6400000000000001,461.6735475039748
0.6500000000000001,464.163832100633
0.6600000000000001,465.78983293354185
0.6700000000000002,463.4638726444004
0.6800000000000002,463.8810206968145
0.6900000000000002,463.162352135928
0.7000000000000002,466.0148758753524
0.7100000000000002,461.74262987701087
0.7200000000000002,463.1117550351642
0.7300000000000001,464.3693216364265
0.7400000000000001,464.88053944046595
0.7500000000000001,465.0368704752526
0.7600000000000001,464.0404108226509
0.7700000000000001,463.1261446013956
0.7800000000000001,463.4999931360852
0.7900000000000002,468.39498966447866
0.8000000000000002,465.2013194182045
0.8100000000000002,465.1269949020537
0.8200000000000002,461.7538673567768
0.8300000000000002,464.06894374550035
0.8400000000000002,465.5948711716035
0.8500000000000002,464.96694783756385
0.8600000000000001,464.49060077840096
0.8700000000000001,--undefined--
0.8800000000000001,154.90680462714752
0.8900000000000001,149.8204973344161
0.9000000000000001,137.69698738300755
0.9100000000000001,134.12691247196014
